,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
97,0-guo1ys.csv,56.12291373,237.0778887,29.62355748,30.57058823,37.23607978,35.66383528,41.64997984,847.3926284,702.0246522,6796.222623,3490.00502,122.6537209,50,"['add', 'sub', 'mul', 'div']",,10,
98,0-guo1ys.csv,53.84735201,384.0335007,29.31686439,36.19450114,38.41185105,36.83110553,42.50030292,759.8492694,763.8882353,2286.048647,2639.899101,124.0447877,50,"['add', 'sub', 'mul', 'div']",,10,
99,0-guo1ys.csv,53.28272655,161.3231983,30.95448128,31.53701321,37.75636359,36.25296802,42.19216208,652.1315882,624.4128199,7246.311795,8718.560611,123.6014515,50,"['add', 'sub', 'mul', 'div']",,10,
100,0-guo2ts.csv,43.09232272,151.9096599,23.56834993,21.79406728,28.97543095,26.96849154,30.12021581,697.6912129,727.2404232,5802.150573,5396.617686,122.2582807,50,"['add', 'sub', 'mul', 'div']",,10,
101,0-guo2ts.csv,47.64674071,309.0562444,22.3191036,21.86403135,28.5752528,28.2892833,29.96458082,980.4360735,699.2011294,3069.476477,7211.110869,124.7105606,50,"['add', 'sub', 'mul', 'div']",,10,
102,0-guo2ts.csv,51.8129982,319.9956954,23.03638671,23.00880662,29.25112458,28.60898187,30.42696586,745.7770789,743.4262829,3959.091451,7515.088384,123.1722054,50,"['add', 'sub', 'mul', 'div']",,10,
103,0-guo2ts.csv,43.21928767,249.7661066,21.96328389,30.13616953,28.58474181,26.18761381,30.08133006,743.0466237,602.2998784,5940.165075,2967.730677,122.8043629,50,"['add', 'sub', 'mul', 'div']",,10,
104,0-guo2ts.csv,40.10335602,382.3834808,22.4575096,22.17973891,29.09985916,27.4642959,29.49585133,665.5206609,686.534668,1465.595831,3464.754768,122.6133241,50,"['add', 'sub', 'mul', 'div']",,10,
105,0-guo2ts.csv,42.65398633,377.0804853,26.77620745,22.17058005,28.60836619,28.31485637,29.92735729,643.0604656,639.4561856,2671.217525,3544.762998,123.0944998,50,"['add', 'sub', 'mul', 'div']",,10,
106,0-guo2ts.csv,45.86697475,152.0453527,21.60336429,23.09508766,28.93202875,28.68198283,30.12021581,831.0514753,820.8862178,5890.960471,2891.732871,122.2582807,50,"['add', 'sub', 'mul', 'div']",,10,
107,0-guo2ts.csv,46.89266752,99.62318611,22.03660337,21.63938311,28.89820661,28.52632982,29.73617219,776.6424572,785.1914556,1529.771616,2963.278381,123.5418115,50,"['add', 'sub', 'mul', 'div']",,10,
108,0-guo2ts.csv,40.61472435,280.3447714,22.13414152,22.44992976,28.40211008,27.022655,29.73617219,696.6803257,721.6996219,3328.653781,2520.596126,123.5418115,50,"['add', 'sub', 'mul', 'div']",,10,
109,0-guo2ts.csv,45.20250446,332.8945463,21.951283,22.79382531,29.56029049,28.51432712,29.98235842,666.4100645,744.3128948,1925.967499,3645.970852,122.9063575,50,"['add', 'sub', 'mul', 'div']",,10,
110,0-guo2ts.csv,49.92747493,263.0899646,29.92392252,22.24392535,29.66226928,28.07454424,29.9239075,786.4925151,745.9158704,5923.003536,3077.839458,122.3954258,50,"['add', 'sub', 'mul', 'div']",,10,
111,0-guo2ts.csv,43.25950767,236.9370344,22.29045913,22.61116029,29.59499335,28.03612283,30.38520006,762.0620186,748.4011669,3380.43504,2562.441,123.4144456,50,"['add', 'sub', 'mul', 'div']",,10,
112,0-guo2ts.csv,46.72814831,200.9253733,21.85996823,21.97718364,28.22002866,28.67502534,29.54581648,674.4033689,739.9758089,2331.281734,2885.412361,121.8128187,50,"['add', 'sub', 'mul', 'div']",,10,
113,0-guo2ts.csv,41.80113446,90.55318022,21.17191641,21.71802013,29.18293418,27.27358754,30.08018858,744.6881447,758.7941039,1720.890661,1331.363471,124.0409615,50,"['add', 'sub', 'mul', 'div']",,10,
114,0-guo2ts.csv,37.9274203,269.1895077,21.85461925,22.74976303,29.1434497,27.07024347,29.67256054,745.1049647,624.9146059,2667.516499,7347.583172,123.4991905,50,"['add', 'sub', 'mul', 'div']",,10,
115,0-guo2ts.csv,46.39976125,207.4445419,23.3651999,22.28432082,28.40356606,27.80524553,30.1871872,708.5195825,727.7529309,2639.070179,2449.73399,123.7791259,50,"['add', 'sub', 'mul', 'div']",,10,
116,0-guo2ts.csv,48.18065751,94.11751008,21.51648487,21.5902982,27.73792562,27.01339679,29.7031899,634.7684765,725.624908,7930.583581,4559.622353,121.2158248,50,"['add', 'sub', 'mul', 'div']",,10,
117,0-guo2ts.csv,44.52744929,193.3083062,21.89000698,22.39465577,29.22866896,27.98673286,30.20838138,839.515377,814.2648814,1684.066885,2602.930777,124.3484725,50,"['add', 'sub', 'mul', 'div']",,10,
